Type,Transaction Date,Stock Symbol,Number of Shares,Price per Share,Dividend per Share,Commission/Taxes,Total Value,Note
buy,"May 12, 2022",SYS,200,340,,116.39,"68,116.39",
buy,"Jul 4, 2022",NETSOL,500,100,,87.58,"50,087.58",
buy,"Jul 22, 2022",NETSOL,600,92,,96.95,"55,296.95",
dividend,"May 6, 2024",SYS,200,,6,360,840,
dividend,"Oct 25, 2024",NETSOL,1100,,3,495,"2,805.00",
dividend,"May 9, 2025",SYS,200,,6,180,"1,020.00",
buy,"May 27, 2025",MIIETF,1500,15.23,,94.88,"22,939.88",
buy,"Jun 2, 2025",MIIETF,8000,15.15,,506,"121,706.00",
buy,"Jun 2, 2025",SYS,800,0,,0,0,5:1 Stock Split
buy,"Jun 5, 2025",MARI,250,619,,268.38,"155,018.38",
buy,"Jun 5, 2025",SYS,1500,104,,277.73,"156,277.73",
buy,"Jun 11, 2025",PRL,3000,33.35,,14.75,"100,064.75",
buy,"Jun 13, 2025",SYS,1500,102.5,,273.93,"154,023.93",
buy,"Jun 13, 2025",MIIETF,6500,15.34,,411.13,"100,121.13",
buy,"Jun 17, 2025",MIIETF,9000,15.34,,569.25,"138,629.25",
buy,"Jun 17, 2025",PIOC,500,212,,185.73,"106,185.73",
buy,"Jun 18, 2025",MIIETF,10000,15.18,,632.5,"152,432.50",
buy,"Jun 18, 2025",MARI,200,623,,215.09,"124,815.09",
buy,"Jun 19, 2025",MIIETF,5000,15.05,,316.25,"75,566.25",
buy,"Jun 19, 2025",MARI,150,618,,160.77,"92,860.77",
buy,"Jun 19, 2025",MIIETF,5000,15.11,,316.25,"75,866.25",
buy,"Jun 20, 2025",MIIETF,5000,12.9,,316.25,"64,816.25",
buy,"Jun 23, 2025",FFC,400,370,,257.6,"148,257.60",
buy,"Jun 26, 2025",MIIETF,10000,13.1,,632.5,"131,632.50",
sell,"Jun 30, 2025",PRL,3000,34,,193.2,"101,806.80",
dividend,"Jun 30, 2025",MIIETF,45000,,2.25,"15,188.00","86,062.00",
dividend,"Aug 19, 2025",FFC,400,,12,720,"4,080.00",
dividend,"Sep 26, 2025",MARI,600,,21.7,"1,953.00","11,067.00",
buy,"Oct 13, 2025",SYS,1000,150,,800,"150,800.00",
dividend,"Nov 4, 2025",PIOC,500,,5,375,"2,125.00",
dividend,"Nov 13, 2025",FFC,400,,9.5,570,"3,230.00",
sell,"Nov 25, 2025",PIOC,500,329.43,,0,"164,712.50",
dividend,"Feb 2, 2026",MARI,600,,8.3,747,"4,233.00",
buy,"Feb 3, 2026",FFC,200,592.03,,0,"118,405.06",
buy,"Mar 3, 2026",MIIETF,5000,15.76,,0,"78,796.50",
dividend,"Mar 25, 2026",FFC,600,,8.5,765,"4,335.00",
dividend,"May 20, 2026",FFC,600,,8.5,765,"4,335.00",
dividend,"May 22, 2026",SYS,5000,,2,"1,500.00","8,500.00",
dividend,"Jul 8, 2026",MIIETF,65000,,0.75,"7,312.50","41,437.50",
buy,"Jul 9, 2026",MIIETF,5000,16.9,,316,"84,816.00",
buy,"Jul 14, 2026",MIIETF,5000,16.38,,316,"82,216.00",
